ann;mes;dia;hora;reflectancia;nc;N;Hext;VelViento;DirViento;Temp;Humedad;Lluvia;RadSolar
2014.0;4.0;28.0;11.0;0.2071292642301856;0.08040945391945581;12.11318723902135;10211.938356569664;2.7;77.3;27.9;60.5;0.0;491.3
2014.0;4.0;28.0;12.0;0.2341636760315741;0.051709729274417776;12.11318723902135;10211.938356569664;2.7;93.6;29.2;55.2;0.0;499.4
2014.0;4.0;28.0;13.0;0.2167920926096103;0.05992477014475696;12.11318723902135;10211.938356569664;2.4;50.9;30.2;51.5;0.0;498.1
2014.0;4.0;28.0;14.0;0.1543127926576992;0.04178806688151865;12.11318723902135;10211.938356569664;3.8;84.3;31.2;47.2;0.0;467.7
2014.0;4.0;28.0;15.0;0.1133974133331559;0.06277166055322567;12.11318723902135;10211.938356569664;3.3;73.4;31.8;46.3;0.0;389.1
2014.0;4.0;28.0;16.0;0.2206869939286486;0.34710928941669017;12.11318723902135;10211.938356569664;3.9;18.3;31.6;47.6;0.0;99.5
2014.0;4.0;28.0;17.0;0.1577557479458803;0.6489873516169831;12.11318723902135;10211.938356569664;3.9;2.5;31.3;46.7;0.0;96.8
2014.0;4.0;29.0;7.0;0.168503102638452;0.7862345670205452;12.115865379572998;10198.016511541296;2.3;8.9;21.1;91.4;1.02;7.1
2014.0;4.0;29.0;9.0;0.3474259867502094;0.80227439909447;12.115865379572998;10198.016511541296;3.3;350.8;22.3;86.0;0.0;104.9
2014.0;4.0;29.0;10.0;0.4746498974492844;0.4545843647851541;12.115865379572998;10198.016511541296;1.1;20.9;23.3;79.5;0.0;186.1
2014.0;4.0;29.0;11.0;0.3262143822349159;0.2671642348012057;12.115865379572998;10198.016511541296;2.6;145.4;24.9;70.5;0.0;340.9
2014.0;4.0;29.0;12.0;0.4330108633449865;0.2558200777329651;12.115865379572998;10198.016511541296;4.1;156.3;25.8;67.8;0.0;383.5
2014.0;4.0;29.0;13.0;0.349465588212659;0.1817052051701223;12.115865379572998;10198.016511541296;2.0;131.1;26.9;60.3;0.0;421.7
2014.0;4.0;29.0;14.0;0.2989563279803823;0.266887011523472;12.115865379572998;10198.016511541296;3.0;101.2;28.1;53.1;0.0;436.7
2014.0;4.0;29.0;15.0;0.3778743933229646;0.6090147196654759;12.115865379572998;10198.016511541296;2.9;91.7;28.8;53.1;0.0;308.4
2014.0;4.0;29.0;16.0;0.0851305962665392;0.0989573423741911;12.115865379572998;10198.016511541296;3.3;62.4;29.3;54.6;0.0;265.1
2014.0;4.0;29.0;17.0;0.0333295809561418;0.07331783541889245;12.115865379572998;10198.016511541296;3.1;68.7;29.3;56.2;0.0;99.3
2014.0;4.0;29.0;18.0;0.0072871219057067;0.13828915857595966;12.115865379572998;10198.016511541296;2.3;80.6;28.7;58.7;0.0;16.3
2014.0;4.0;30.0;7.0;0.0435911506111123;0.15475315651530017;12.118518076329169;10183.954906697973;0.7;103.5;22.5;84.7;0.0;25.4
2014.0;4.0;30.0;10.0;0.1711207408961486;0.0853193078040505;12.118518076329169;10183.954906697973;2.8;177.6;26.1;69.3;0.0;379.5
2014.0;4.0;30.0;11.0;0.5888932543450908;0.679109371398814;12.118518076329169;10183.954906697973;2.0;164.7;27.4;63.1;0.0;335.3
2014.0;4.0;30.0;12.0;1.4475018316476838;1.0;12.118518076329169;10183.954906697973;2.4;151.3;27.9;61.5;0.0;192.6
2014.0;4.0;30.0;13.0;0.6243599747569902;0.43402958862919766;12.118518076329169;10183.954906697973;2.7;101.0;28.8;58.7;0.0;426.0
2014.0;4.0;30.0;14.0;0.2937883047706994;0.2588443667707043;12.118518076329169;10183.954906697973;3.1;2.2;29.5;53.4;0.0;305.6
2014.0;4.0;30.0;15.0;0.0995462848530461;0.03416394280998943;12.118518076329169;10183.954906697973;6.2;21.5;29.3;54.7;0.0;228.3
2014.0;4.0;30.0;16.0;0.3699912499361432;0.6204283099054424;12.118518076329169;10183.954906697973;4.3;60.5;28.5;58.7;0.0;92.9
2014.0;4.0;30.0;17.0;0.2920302571971035;1.0;12.118518076329169;10183.954906697973;2.8;100.0;28.2;59.3;0.0;55.0
2014.0;4.0;30.0;18.0;0.0043676471281172;0.09269464480327158;12.118518076329169;10183.954906697973;3.5;185.4;26.6;63.2;0.0;21.8
2014.0;5.0;1.0;7.0;0.0495591288151753;0.1849237465429174;12.121144481913936;10169.769176634294;1.5;83.2;22.5;86.9;0.0;17.2
2014.0;5.0;1.0;10.0;0.466512366462246;0.44468447286789053;12.121144481913936;10169.769176634294;3.7;105.0;25.6;70.6;0.0;214.4
2014.0;5.0;1.0;13.0;0.5426803342308967;0.3590561954072091;12.121144481913936;10169.769176634294;2.1;148.4;29.4;54.7;0.0;421.6
2014.0;5.0;1.0;16.0;0.1015083882051383;0.1289388189250122;12.121144481913936;10169.769176634294;3.1;317.2;29.3;52.0;0.0;80.7
2014.0;5.0;2.0;7.0;0.1020298023690094;0.4501846315756264;12.12374373448674;10155.475070520888;0.6;186.5;22.3;87.0;0.25;16.4
2014.0;5.0;2.0;10.0;0.2689378940443829;0.2043209122666809;12.12374373448674;10155.475070520888;1.8;122.7;25.1;74.8;0.0;343.6
2014.0;5.0;2.0;13.0;0.486374991917246;0.3073737621522363;12.12374373448674;10155.475070520888;2.8;118.1;28.4;58.3;0.0;287.8
2014.0;5.0;2.0;16.0;0.1478790647815851;0.21382580232513027;12.12374373448674;10155.475070520888;3.9;36.4;25.2;76.0;2.54;128.3
