ann	mes	dia	hora	VelViento	DirViento	Temp	Humedad	Lluvia	RadSolar
2014.0	5.0	21.0	10.0	1.1	173.3	24.8	71.1	0.0	241.3
2014.0	5.0	21.0	12.0	3.0	84.0	28.3	53.2	0.0	496.8
2014.0	5.0	21.0	13.0	3.2	91.3	29.2	49.9	0.0	495.9
2014.0	5.0	21.0	14.0	2.8	122.0	30.1	47.0	0.0	454.8
2014.0	5.0	21.0	15.0	3.2	107.4	30.6	43.8	0.0	357.9
2014.0	5.0	21.0	16.0	4.6	96.4	31.0	43.8	0.0	276.1
2014.0	5.0	21.0	17.0	5.0	115.2	30.5	44.9	0.0	88.7
2014.0	5.0	21.0	18.0	2.9	87.5	29.9	47.6	0.0	9.1
2014.0	5.0	22.0	7.0	1.6	69.9	22.2	82.2	0.0	24.3
2014.0	5.0	22.0	10.0	1.1	201.6	26.1	66.9	0.0	331.5
2014.0	5.0	22.0	13.0	3.4	21.9	29.7	53.6	0.0	508.9
2014.0	5.0	22.0	16.0	5.5	14.1	31.2	42.6	0.0	275.1
2014.0	5.0	23.0	7.0	1.3	42.3	22.7	79.5	0.0	34.6
2014.0	5.0	23.0	10.0	2.3	179.7	25.3	68.1	0.0	349.3
2014.0	5.0	23.0	13.0	3.0	101.4	28.6	52.6	0.0	379.8
2014.0	5.0	23.0	16.0	4.0	18.1	30.5	46.6	0.0	159.8
2014.0	5.0	24.0	7.0	3.8	199.9	21.6	84.6	0.0	22.7
2014.0	5.0	24.0	10.0	1.8	115.6	25.7	67.3	0.0	347.8
2014.0	5.0	24.0	13.0	2.6	56.4	29.4	54.0	0.0	468.0
2014.0	5.0	24.0	16.0	3.3	20.1	30.7	48.9	0.0	47.7
2014.0	5.0	25.0	7.0	0.9	133.3	22.7	83.3	0.0	13.5
2014.0	5.0	25.0	10.0	1.6	148.8	26.6	65.1	0.0	344.1
2014.0	5.0	25.0	13.0	3.5	85.8	29.8	51.7	0.0	410.0
2014.0	5.0	25.0	16.0	4.1	43.6	31.3	44.2	0.0	178.8
2014.0	5.0	26.0	7.0	1.1	222.0	23.0	80.6	0.0	28.8
2014.0	5.0	26.0	10.0	2.0	69.1	25.7	70.6	0.0	200.0
2014.0	5.0	26.0	13.0	1.9	101.4	27.2	63.1	0.0	113.9
2014.0	5.0	26.0	16.0	2.9	101.8	28.5	57.8	0.0	147.2
2014.0	5.0	27.0	7.0	1.6	134.7	22.5	81.9	0.0	10.5
2014.0	5.0	27.0	10.0	2.0	156.2	24.9	72.5	0.0	207.8
2014.0	5.0	27.0	12.0	2.1	155.2	27.8	60.0	0.0	301.5
2014.0	5.0	27.0	13.0	3.8	86.9	28.3	58.2	0.0	203.9
2014.0	5.0	27.0	14.0	3.0	68.9	29.3	52.9	0.0	281.9
2014.0	5.0	27.0	15.0	2.8	38.2	30.0	51.7	0.0	334.9
2014.0	5.0	27.0	16.0	4.7	36.8	30.3	51.3	0.0	243.6
2014.0	5.0	27.0	17.0	3.7	42.4	29.8	52.7	0.0	81.2
2014.0	5.0	27.0	18.0	3.2	35.7	29.1	53.3	0.0	29.7
2014.0	5.0	28.0	7.0	1.8	63.3	22.5	84.0	0.0	22.9
2014.0	5.0	28.0	10.0	3.6	95.6	26.2	66.3	0.0	282.0
2014.0	5.0	28.0	13.0	4.0	101.7	29.9	51.6	0.0	435.2
2014.0	5.0	28.0	14.0	2.6	143.1	30.2	49.5	0.0	231.7
2014.0	5.0	28.0	15.0	2.3	333.7	28.8	53.5	0.0	67.7
2014.0	5.0	28.0	16.0	5.3	301.9	26.8	55.6	0.0	68.1
2014.0	5.0	28.0	17.0	4.8	300.0	28.0	52.1	0.0	87.5
2014.0	5.0	28.0	18.0	5.2	305.8	28.1	51.8	0.0	19.4
2014.0	5.0	29.0	13.0	3.9	48.0	25.7	72.6	0.0	397.4
2014.0	5.0	29.0	14.0	4.4	54.9	26.9	65.0	0.0	330.8
2014.0	5.0	29.0	15.0	5.9	65.5	27.2	63.6	0.0	159.3
2014.0	5.0	29.0	16.0	6.5	70.0	26.8	64.8	0.0	100.9
2014.0	5.0	29.0	17.0	2.1	37.2	26.6	61.8	0.0	51.9
2014.0	5.0	29.0	18.0	3.2	271.7	25.7	62.3	0.0	9.7
2014.0	5.0	30.0	7.0	2.1	113.5	20.5	89.8	0.0	7.8
2014.0	5.0	30.0	10.0	1.3	321.9	24.7	70.0	0.0	317.9
2014.0	5.0	30.0	11.0	2.3	78.3	25.5	65.5	0.0	214.1
2014.0	5.0	30.0	12.0	3.8	69.7	26.9	59.8	0.0	509.3
2014.0	5.0	30.0	13.0	2.8	76.6	27.8	55.3	0.0	371.1
2014.0	5.0	30.0	14.0	3.4	91.6	28.7	53.0	0.0	417.9
2014.0	5.0	30.0	15.0	3.7	96.8	28.9	52.5	0.0	297.8
2014.0	5.0	30.0	16.0	4.1	89.4	29.1	52.5	0.0	136.1
2014.0	5.0	30.0	17.0	2.8	92.5	28.9	52.7	0.0	72.2
2014.0	5.0	30.0	18.0	2.1	102.4	28.7	55.9	0.25	17.5
2014.0	5.0	31.0	7.0	1.5	69.7	22.3	88.6	0.0	18.4
2014.0	5.0	31.0	10.0	2.2	153.2	25.3	74.4	0.0	292.3
2014.0	5.0	31.0	13.0	2.6	50.0	29.0	57.0	0.0	446.1
2014.0	5.0	31.0	16.0	4.0	99.6	31.2	45.0	0.0	256.5
2014.0	6.0	1.0	7.0	1.3	174.9	22.8	83.7	0.0	13.7
2014.0	6.0	1.0	9.0	4.3	221.9	24.9	74.0	0.0	214.0
2014.0	6.0	1.0	10.0	3.6	234.2	25.9	68.7	0.0	241.1
2014.0	6.0	1.0	11.0	2.1	159.1	27.0	65.0	0.0	257.6
2014.0	6.0	1.0	12.0	2.8	130.8	28.3	58.8	0.0	461.3
2014.0	6.0	1.0	13.0	3.7	114.5	29.2	55.7	0.0	320.0
2014.0	6.0	1.0	14.0	2.5	82.6	29.8	53.1	0.0	255.8
2014.0	6.0	1.0	15.0	3.4	14.6	30.4	51.7	0.0	301.0
2014.0	6.0	1.0	16.0	3.6	14.7	30.9	47.0	0.0	216.1
2014.0	6.0	1.0	17.0	3.4	16.3	30.8	45.7	0.0	136.3
2014.0	6.0	1.0	18.0	5.2	294.6	29.8	47.1	0.0	43.2
2014.0	6.0	2.0	10.0	2.0	227.3	22.9	85.2	0.0	93.2
2014.0	6.0	2.0	13.0	1.6	147.0	27.2	63.3	0.0	420.0
2014.0	6.0	2.0	15.0	2.8	75.5	28.0	60.7	0.0	122.3
2014.0	6.0	2.0	16.0	1.7	47.6	28.5	57.0	0.0	169.9
2014.0	6.0	2.0	17.0	2.0	112.4	28.8	54.1	0.0	110.8
2014.0	6.0	2.0	18.0	3.7	184.7	27.1	67.4	0.0	41.8
2014.0	6.0	3.0	7.0	1.8	225.8	22.1	89.4	0.0	14.3
2014.0	6.0	3.0	10.0	3.0	101.8	25.4	72.2	0.0	362.4
2014.0	6.0	3.0	11.0	2.9	95.4	26.6	67.1	0.0	299.3
2014.0	6.0	3.0	12.0	2.8	75.7	27.6	62.5	0.0	387.0
2014.0	6.0	3.0	13.0	3.3	92.7	28.4	60.2	0.0	332.7
2014.0	6.0	3.0	14.0	5.1	37.9	29.8	53.9	0.0	390.2
2014.0	6.0	3.0	15.0	4.4	27.7	29.8	50.9	0.0	343.2
2014.0	6.0	3.0	16.0	3.6	67.2	30.0	49.7	0.0	187.2
2014.0	6.0	3.0	17.0	3.7	64.8	30.3	48.7	0.0	108.4
2014.0	6.0	3.0	18.0	5.2	301.9	29.5	47.4	0.0	45.9
2014.0	6.0	4.0	7.0	2.8	147.6	23.0	81.8	0.0	12.7
2014.0	6.0	4.0	10.0	2.6	131.2	25.9	68.2	0.0	246.3
2014.0	6.0	4.0	13.0	3.3	84.6	29.1	54.6	0.0	416.4
2014.0	6.0	4.0	16.0	3.3	53.6	30.3	51.3	0.0	177.7
2014.0	6.0	5.0	7.0	1.3	171.5	22.3	84.0	0.0	9.3
2014.0	6.0	5.0	10.0	2.9	83.1	25.0	74.1	0.0	190.6
2014.0	6.0	5.0	13.0	4.0	119.4	29.7	53.3	0.0	437.7
2014.0	6.0	5.0	16.0	3.5	193.1	30.1	51.3	0.0	67.9
2014.0	6.0	6.0	7.0	2.4	206.5	23.2	81.5	0.0	21.4
2014.0	6.0	6.0	8.0	2.5	131.2	23.4	81.7	0.0	32.1
2014.0	6.0	6.0	9.0	2.7	131.4	24.5	75.1	0.0	124.0
